"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Users Module","3","0","Add User","0"
"0","","0","Carts Module","3","0","Add Cart","0"
"0","","0","Carts Module","3","0","Delete Cart","0"
"0","","0","Simulation Event","2","0","Simulation flow","0"
"0","","0","Products Module","3","0","Delete Product","0"
"0","","0","Carts Module","3","0","Update Cart","0"
"0","","0","Users Module","1","0","Current User","0"
"0","","0","Products Module","3","0","Add Product","0"
"0","","0","Users Module","2","0","Update User","0"
"0","","0","Carts Module","1","0","Carts List","0"
"0","","0","Carts Module","3","0","Search Carts","0"
"0","","0","Products Module","3","0","Search Product","0"
"0","","0","Users Module","1","0","Get All Users","0"
"0","","0","Users Module","1","0","Extract Credentials to YAML","0"
"0","","0","Users Module","3","0","Search User","0"
"0","","0","Login Module","1","0","Login Success","0"
"0","","0","Products Module","1","0","Products List","0"
"0","","0","Login Module","1","0","Get All Tokens","0"
